cond,subj,coef.q0,coef.a
1,2,177.74,4.55E-04
1,4,260.45,1.17E-04
1,6,393.35,2.87E-04
1,8,217.58,1.92E-04
1,0,213.21,1.92E-04
1,4,159.78,5.92E-05
1,6,195.92,1.35E-04
1,0,166.14,8.86E-05
1,4,273.15,5.58E-05
1,6,193.25,1.31E-04
1,0,232.89,7.85E-05
